"user_id", "quoted_user_id"
"273087314", "145992645"
"559396930", "1045777698"
"17571824", "318541441"
"2527539528", "14824411"
"356783099", "15133318"
"1177037510", "254271761"
"559396930", "269900922"
"1521572868", "39321874"
"10409262", "31416615"
"2803796677", "2223245203"
"370258960", "2223245203"
"2244100734", "2223245203"
"2326927123", "1254923221"
"1448756144", "2822222785"
"712917595", "753865128"
"2730027475", "3391758089"
"9172732", "91796121"
"37883400", "2905232597"
"1276139618", "15424281"
"3375935176", "803560680"
"307275102", "50982086"
"50982086", "510203470"
"234710888", "406410148"
"1920242516", "935567744"
"2798092961", "3589317195"
"3395436645", "592950498"
"3400047741", "780717692"
"494009072", "1974003090"
"103841173", "921613332"
"521165666", "372757122"
"78034120", "3374563353"
"921158532", "300192875"
"79179431", "112694236"
"1114815674", "151085945"
"173541298", "10242562"
"395235715", "1605955592"
"1266913368", "233928703"
"487482972", "3383462535"
"547834760", "3357269410"
"3065683582", "2350928622"
"3065683582", "2350928622"
"108994652", "225887277"
"381406069", "2905232597"
"91796121", "41583102"
"14336062", "1159633460"
"245293690", "263575673"
"820497732", "38640768"
"164740022", "3290161704"
"1548225049", "413816907"
"1967164243", "235664184"
"393372227", "145670919"
"1548225049", "413816907"
"2350928622", "11713422"
"35066609", "198829810"
"3375854849", "2822222785"
"266103209", "50982086"
"224576493", "151085945"
"2987059816", "296692575"
"207656981", "290548545"
"3014288723", "91796121"
"14336062", "2904896141"
"259384911", "404450891"
"12068352", "535707261"
"1642246466", "327486357"
"3373811597", "20509689"
"617061699", "91796121"
"423617294", "91796121"
"572471296", "2178826701"
"112230907", "1499289019"
"1291262382", "1724850770"
"1094878244", "2880231533"
"946165296", "2202441998"
"1548225049", "413816907"
"14274516", "274058005"
"165365385", "134425841"
"14436030", "3114509938"
"73062167", "248172760"
"238099531", "77963344"
"2899563321", "2904896141"
"2872913572", "2872913572"
"592912272", "8330472"
"3091016374", "14088938"
"2350928622", "255518434"
"270859115", "7374992"
"2400476947", "224576493"
"199235993", "194131876"
"310143531", "214112280"
"494009072", "572471296"
"365353167", "2905232597"
"42686924", "145992645"
"244584574", "41583102"
"104849271", "294108341"
"112230907", "71806632"
"112230907", "1082642222"
"1266913368", "845079415"
"2596025298", "2695408143"
"2909417668", "2596025298"
"144981542", "243153735"
"293046721", "170274887"
"1629054248", "492368984"
"910522118", "246256257"
"364878367", "373273320"
"796539774", "2722406563"
"481522359", "196498970"
"294037098", "337879352"
"378219175", "492190629"
"3367358927", "2905232597"
"1346217607", "14088938"
"94794822", "254505692"
"1346217607", "14088938"
"226680631", "50982086"
"485505777", "546704966"
"381177511", "253050797"
"3329574557", "20509689"
"618927738", "546704966"
"16278193", "16278193"
"16278193", "16278193"
"844974229", "1382800212"
"200435252", "225887277"
"2149470410", "104849271"
"32604941", "200245302"
"986490990", "12723412"
"115793824", "195770994"
"2601945110", "16837276"
"104833800", "554168218"
"3384777700", "108994652"
"3033627111", "2248473485"
"2805490415", "256025198"
"407997494", "830762161"
"15133318", "119429803"
"568428684", "13777542"
"381752531", "1621109528"
"36973881", "2842628747"
"36973881", "2842628747"
"36973881", "2842628747"
"317690565", "821710842"
"317690565", "821710842"
"317690565", "821710842"
"317690565", "821710842"
"3062282931", "821710842"
"568294151", "160207590"
"3062282931", "821710842"
"317690565", "821710842"
"494009072", "494009072"
"1266913368", "45929364"
"494009072", "494009072"
"123841404", "2571046819"
"3170854246", "91796121"
"2657051250", "193019795"
"2737418553", "108994652"
"211649720", "290812583"
"94794822", "194070793"
"361436920", "729422582"
"2679807212", "2679807212"
"2880161440", "19028805"
"16278193", "54973063"
"14443524", "839969233"
"331085228", "84053338"
"932563470", "298647267"
"257938416", "2794243443"
"22026348", "21559784"
"98959427", "50695107"
"844208798", "1499289019"
"22026348", "3293321202"
"77819148", "378168062"
