"id", "quoted_status_id"
"631433392702230528", "631342490621186048"
"642027936640577536", "641956612568154112"
"642701379056836608", "642426567944224772"
"643346182429896704", "641299641691148288"
"643382141104070656", "643371079629733888"
"643835197708988416", "643832588931629056"
"643906054674337792", "643904995809755136"
"644518090403938304", "644512411609755649"
"644529737570889732", "644527336944205824"
"644602593667321856", "644601714650296321"
"644606040370188290", "644601714650296321"
"644608603110961153", "644601714650296321"
"644838923928252416", "643174877587996673"
"644874254157250561", "644873038165602304"
"644982796239433728", "642297547680260096"
"645131840400039937", "645011237751947264"
"645189912350851072", "645189686277861380"
"645263454245384192", "645260176237461504"
"645312962786390016", "645308768406867968"
"645393614491750400", "645211565566881792"
"645536081140711424", "645523380305707009"
"645547085119528960", "645546459153199104"
"645609347012272128", "630714806736175105"
"645691623196594176", "645557438582771712"
"645947983528394753", "645940273164517376"
"645963871853936645", "645962082983223297"
"645965628591972352", "645890778900918272"
"646101847799951360", "645705116478124032"
"646234114958487552", "646047007182745600"
"646240426580647936", "646239336476880896"
"646294112090632192", "646279803625074688"
"646307669138010112", "646304280429895681"
"646317000436920321", "646311662136508416"
"646337514270289920", "646311528526909440"
"646353826027544576", "646353388674809857"
"646381323309969409", "646377700160987136"
"646400403790282752", "646398579129614338"
"646402386018336772", "646376224546095104"
"646421000368881665", "646387454073810944"
"646456429595877377", "646405857778008064"
"646461496730480640", "646405857778008064"
"646581771451154432", "646573872272277504"
"646589026179395584", "646588241836134400"
"646600066820648960", "646587486223921152"
"646602095571939328", "646420397970313216"
"646604173736345600", "646599972981501952"
"646612252506890240", "646605490080903168"
"646621657885446144", "646457000554037248"
"646623409716264961", "646616645851549697"
"646629544301068288", "644223305709436928"
"646641208341757952", "646640741129842692"
"646674249197965312", "646650364142448640"
"646697465031356416", "646067084091367424"
"646699425939722241", "646600736181256193"
"646708727882629120", "646694980371771392"
"646711705058308096", "646372551430504448"
"646713434499887105", "646708343076163584"
"646754332529065985", "646613960402333696"
"646759632908722177", "646647656324964352"
"646764181824372737", "646586848672919552"
"646766387134922752", "646581258319974400"
"646771127151403008", "646768807541899266"
"646781560864182272", "646778246655119360"
"646785028513402881", "646699846129295360"
"646790156763041792", "646788861587124225"
"646791865073668097", "646770714507378688"
"646796276122583041", "646586848672919552"
"646803433626968064", "646802285851463680"
"646812075377999874", "646806481426350080"
"646817078620651520", "642300045199568896"
"646828702911868928", "646808536417239041"
"646925142505967616", "646920733109690368"
"646930310408577024", "646730117344067584"
"646939529966944256", "646684964579340288"
"646941930320961536", "646640571164033024"
"646947386204520448", "646946555732299776"
"646955631870627840", "646808941939265536"
"646958679221211136", "646958073588920320"
"646974752192655360", "646581258319974400"
"646978321729888256", "646977383044661250"
"646978590370865153", "646973610721079296"
"646981838934818816", "646980004451065856"
"646984529845088256", "646801604671356928"
"646988562135650304", "646959628128010240"
"646990716909002752", "646713317298425856"
"646997237705375744", "646987708800331777"
"646998743473070081", "646996316359409664"
"647005241511157761", "646996379143917568"
"647010309782302720", "647008845345112064"
"647010554335363072", "626165532191014912"
"647012780546109440", "647001963805085696"
"647013956477931520", "647003423569780737"
"647019600480235520", "647018465325355008"
"647020603715788800", "647019395340963840"
"647020717553401856", "647018026383089664"
"647031066964926464", "647026158429728769"
"647031906878509056", "647030337718108161"
"647032632073682945", "647014482808471552"
"647039292938825730", "647007446137995265"
"647042060533559297", "647035772294569985"
"647043505408356357", "646677331994652672"
"647046082040582144", "647026817027690497"
"647049622721011714", "647046869009465344"
"647052654296866820", "647049318600470528"
"647055281462071296", "647008700209725440"
"647055702586953728", "647052436360855553"
"647061577594720256", "647020420290478080"
"647062436713996288", "647041357010354176"
"647063052370751488", "646773821714788352"
"647064172962910208", "647011592501116928"
"647067594734862336", "647063028601503744"
"647068799280259072", "646043636484972544"
"647070038277681152", "647048501835268096"
"647070721911451648", "646789711114039296"
"647071149755662336", "646043636484972544"
"647072751623114752", "647071771112292352"
"647073845396897792", "647073248463622145"
"647076564040073216", "647073611342315520"
"647078354735206408", "646951276878692353"
"647079471510618112", "647013956477931520"
"647083717631037440", "647039093038284800"
"647084791817502721", "647084344016797700"
"647085997851832320", "647062010786652160"
"647090946715295744", "647085396287979520"
"647092052874948608", "647090199982440448"
"647094685203329024", "647092567113383936"
"647095072450850816", "646999680962953216"
"647097168176791552", "647096945769496576"
"647098735676256256", "647026957713018880"
"647099836186161154", "647098249417986048"
"647101433855254528", "647098589940973568"
"647101930595033088", "647097262406017024"
"647103071013720064", "647004468702248960"
"647103090169094144", "647004468702248960"
"647103092941561856", "647004468702248960"
"647105393202733057", "647102537410056192"
"647105489487179776", "647102537410056192"
"647105666495172608", "647102537410056192"
"647105779070304256", "647102537410056192"
"647105779158355968", "647102537410056192"
"647105843037646848", "647102587217518593"
"647105901283946497", "647102537410056192"
"647105901283962881", "647102537410056192"
"647106021824032768", "647104209809240064"
"647106063326662656", "647105261275058177"
"647106737527476224", "647104209809240064"
"647107518955712516", "647000084719271937"
"647108501723070464", "645506534043201536"
"647108702760214528", "647107789010153472"
"647109803718901760", "647092567113383936"
"647110283408879617", "647069467982364672"
"647111724244582400", "647104536461602817"
"647111764849598466", "647111188229267456"
"647112489860231168", "647023717328011264"
"647113166061740032", "647107072845348864"
"647117673180983296", "647117213921640449"
"647117847068606464", "647117333186617344"
"647118447713873920", "647116295817797633"
"647118933024227328", "647070833463197696"
"647119876956536836", "647119604628746240"
"647120073442881536", "647096283606421504"
"647120134209961984", "647117059625627648"
"647120317933092865", "647119176654565376"
"647120638210109440", "647061089948184576"
"647120785660887040", "647110973195685888"
"647120867890200576", "646360476235001860"
"647120930246926336", "647090742612074496"
"647121387061125120", "647113800034963456"
"647121457647120384", "647112111022309376"
"647121475217059840", "647120997833932800"
"647121689893928960", "647119980392263682"
"647121744000454656", "647077133446082560"
"647121894546743296", "647119604628746240"
"647121915430178816", "647119969642258433"
"647121965023666176", "647113920734478336"
"647122071391207424", "647120383955615744"
"647122110956064768", "647119604628746240"
"647122198377984004", "647073320723214336"
"647122219047473152", "647119604628746240"
"647122681331077120", "647119604628746240"
"647122869353381889", "647106984706228225"
"647122986655444992", "647119604628746240"
"647123311458029568", "647122000079667200"
"647123634482466816", "647108004433788932"
"647123717273858048", "647123298829094912"
"647123903366598656", "647121891338141696"
